"system/cpu/cpuidle/current_governor_ro","qcom"
"system/cpu/cpuidle/current_driver","msm_idle"
"system/cpu/uevent",""
"system/cpu/hang_detect_core/pmu_event_sel","0x0"
"system/cpu/hang_detect_core/threshold","0xb0101d"
"system/cpu/hang_detect_core/enable","1"
"system/cpu/hotplug/states","  0: offline
  1: threads:prepare
  2: perf:prepare
 11: slub:dead
 12: mm/writeback:dead
 13: mm/vmstat:dead
 14: softirq:dead
 17: arm64/fpsimd:dead
 20: block/softirq:dead
 23: block/mq:dead
 24: fs/buffer:dead
 26: mm/memctrl:dead
 27: lib/percpu_cnt:dead
 28: lib/radix:dead
 29: mm/page_alloc:dead
 30: net/dev:dead
 36: workqueue:prepare
 38: hrtimers:prepare
 41: smpcfd:prepare
 42: relay:prepare
 43: slab:prepare
 45: RCU/tree:prepare
 46: core_ctl/isolation:dead
 47: qcom/hyp_core_ctl:dead
 56: base/topology:prepare
 59: trace/RB:preapre
 60: mm/zsmalloc:prepare
 64: block/zram:prepare
 65: timers:prepare
 67: fork:vm_stack_cache
 68: scs:scs_cache
 88: cpu:bringup
 89: idle:dead
 90: ap:offline
 91: sched:starting
 92: RCU/tree:dying
 93: irqchip/arm/gicv3:starting
109: arm64/debug_monitors:starting
110: perf/arm64/hw_breakpoint:starting
112: perf/arm/pmu:starting
115: clockevents/arm/arch_timer:starting
119: AP_QCOM_SLEEP_STARTING
131: clockevents/dummy_timer:starting
136: arm64/isndep:starting
137: smpcfd:dying
140: ap:online
141: cpu:teardown
143: smpboot/threads:online
145: irq/affinity:online
148: perf:online
166: AP_QCOM_CPU_QOS_ONLINE
173: lockup_detector:online
174: workqueue:online
175: RCU/tree:online
176: base/cacheinfo:online
177: mm/writeback:online
178: mm/vmstat:online
179: mm/compaction:online
180: cpufreq:online
181: arm64/cpuinfo:online
182: mm/vmscan:online
183: lib/percpu_cnt:online
184: qcom/hyp_core_ctl:online
185: cpu-isolate/cdev:online
186: cpu-hotplug/cdev:online
187: msm_performance_cpu_hotplug
188: MEMLAT_EVENT
189: core_ctl/isolation:online
190: wlan/qca-qdf:online
191: swap_slots_cache
210: sched:active
211: online"
"system/cpu/cpu7/cpuidle/state1/disable","0"
"system/cpu/cpu7/cpuidle/state1/above","0"
"system/cpu/cpu7/cpuidle/state1/time","21562769406"
"system/cpu/cpu7/cpuidle/state1/power","0"
